id,id1,lat,long,year,type,alt,temp,ph,sal
BQ,S1,10.810883,-85.413707,2017/2019,recreational/natural,535,88.9,2.11,2.7
BR1,S2,10.89837,-85.32839,2017/2019,recreational,437,59,6.16,3.3
BR2,S3,10.89837,-85.32853,2017/2019,recreational,434,53.8,5.87,3.1
RV,S4,10.321576,-84.243686,2017/2019,recreational,557,42.7,6.19,29.3
ET,S5,10.484006,-84.675853,2017/2019,recreational,368,41.4,6.19,0
TC,S6,10.366486,-84.381208,2017,recreational,553,60,6.24,1.8
MT,S7,10.595774,-85.238451,2017,recreational,166,59.1,6.32,3.4
CY,S8,10.287497,-84.955524,2017,natural,184,72,6.31,3.2
EP,S9,9.901885,-85.454327,2017,natural,NA,26.4,9.99,0.1
ES,S10,9.899005,-85.453514,2017,natural,122,27.9,9.75,0.1
FA,S11,10.336843,-85.069499,2017,natural,109,55.2,5.93,3
HN,S12,10.712822,-85.177404,2017,natural,765,87.9,1.82,3.3
PF,S13,10.518466,-84.11518,2017,natural,53,28.7,5.81,2
QH1,S14,9.56171,-84.123251,2017,natural,298,48.7,8.53,2.2
QH2,S15,9.561575,-84.123468,2017,natural,300,36.7,8.69,1.4
QN,S16,10.495573,-84.696714,2017,natural,429,22.9,5.6,0.1
RS,S17,10.232331,-85.531602,2017,natural,82,29.4,9.96,0.1
SI,S18,10.301239,-85.610549,2017,natural,36,35.9,9.83,1.8
SL,S19,10.290599,-84.972435,2017,natural,165,57,6.12,1.4
SM,S20,10.17741,-85.47971,2017,natural,173,31.8,9.25,0.1
ST,S21,10.002942,-83.827507,2017,natural,2209,55.8,4.51,2.98
VC,S22,10.897847,-85.326461,2017,natural,436,59.8,5,7.19
